Date,DFII10,T10YIE,gold_oil_ratio,gold_copper_ratio,gold_log_ret,sp500_log_ret,gold_egarch_vol,sp500_egarch_vol
2006-02-07,2.02,2.55,8.733555217425348,240.87432698210532,-0.0342523887339893,-0.008127666010111,0.01595197559636799,0.0057959642170996774
2006-02-08,2.07,2.49,8.794564065478136,241.27192214420288,-0.0016347736526389,0.0086255617332886,0.01697008742961226,0.006986138256988361
2006-02-09,2.05,2.49,9.01469194552427,244.47812744459065,0.0258403480894404,-0.0014785903687126,0.016200851249650306,0.006697779906454683
2006-02-10,2.09,2.5,8.897154121109851,247.16980896845837,-0.0256585129127078,0.0025367478151654,0.01726597393950021,0.006619241684553321
2006-02-13,2.08,2.5,8.801436728071206,240.9476990422117,-0.0205662997680109,-0.0032650225045891,0.01772159684343405,0.006291189531198317
2006-02-14,2.14,2.48,9.16400918601135,240.8559564671763,0.0127202826013048,0.0099828230439857,0.017874843535813874,0.006543869284656958
2006-02-15,2.13,2.48,9.353552947501502,245.9890659979355,-0.0114224012675263,0.0034982764518369,0.01782755370643103,0.006309572738182387
2006-02-16,2.1,2.49,9.339719612568743,244.07688993886381,0.011605523502129,0.0073014085390754,0.017497700422654437,0.006018826241283727
2006-02-17,2.03,2.51,9.215096492154037,249.79626987729807,0.0105666639160784,-0.0016611026418837,0.017394018301225115,0.005796878213594079
2006-02-21,2.04,2.53,9.065467074416816,242.83211265314944,0.0037985694547346,-0.0032758929376539,0.017221337944828555,0.0058252601126016846
2006-02-22,2.01,2.52,9.078840184438523,244.43954831779703,0.0,0.00748538990252,0.016573261562635982,0.006121716840362775
2006-02-23,2.03,2.53,9.058474002655796,248.14480314393188,-0.0099792169088459,-0.0037822795497417,0.01574828740459086,0.005893429575238787
2006-02-24,2.02,2.56,8.88253042677373,253.5390148639489,0.0187866133308531,0.0012727006703121,0.015481126693057106,0.006271010234591911
2006-02-27,2.04,2.55,9.093442823066086,259.145056955362,-0.0073641564699906,0.0036306217950352,0.016050737200928325,0.005957516449445129
2006-02-28,2.02,2.53,9.145090001324988,256.9663690697944,0.0123623601715321,-0.0104553269774365,0.015630103769057102,0.005697432759590993
2006-03-01,2.02,2.57,9.093109390027642,251.17004744248118,0.0033775242405642,0.0082273926932998,0.015706546084184408,0.007374657562574054
2006-03-02,2.05,2.59,8.967803136576999,249.70336077460732,0.0083061574239433,-0.0016276486762221,0.015126751202738143,0.007047528414136039
2006-03-03,2.07,2.61,8.88958718827266,249.3941377919656,-0.0038794127005914,-0.001482733095977,0.014938354158203446,0.006962120841804641
2006-03-06,2.14,2.6,8.891203745725885,252.11268998879183,-0.0198061168740997,-0.0069928218699271,0.014412376712888843,0.006860989942910392
2006-03-07,2.16,2.58,8.975316592606946,252.8362235676863,-0.0039725804036869,-0.0018636453428637,0.014748117589218148,0.007715525856693235
2006-03-08,2.2,2.53,9.038653713136165,249.712325061388,-0.0186272955107815,0.0020278871201151,0.0142389119108135,0.007607616895558846
2006-03-09,2.2,2.54,9.021001967720105,247.4484054939342,0.0055147198585103,-0.0048927767296982,0.01452313415679316,0.007187616889253411
2006-03-10,2.23,2.53,9.004336768808857,243.52729930360698,-0.0103188228292836,0.0071976214935594,0.014171490576081261,0.007634607877201604
2006-03-13,2.24,2.53,8.840860798752026,242.54941237203465,0.0114180820080536,0.0021125777270372,0.014023383335830046,0.00727229657108964
2006-03-14,2.17,2.54,8.74326506415523,244.11505067924503,0.0102023779527016,0.0103424565766223,0.014135052826566252,0.0068829238665589635
2006-03-15,2.18,2.55,8.896573779572956,245.603886603809,0.0025343304556217,0.0042607555805966,0.014149532420807713,0.006623736260034151
2006-03-16,2.12,2.53,8.719723316259394,244.60623222905855,0.0023477190523832,0.0017711864963931,0.013608709638725765,0.006315413098081936
2006-03-17,2.16,2.52,8.827464896368404,233.89615255407796,-0.0005413601000503,0.0014698453814148,0.01308841854654919,0.00600402435761553
2006-03-20,2.15,2.51,9.189010742016094,236.86006325212082,0.0019832993667705,-0.001661386180892,0.01251034981905181,0.005714870638361031
2006-03-21,2.23,2.48,9.120026864739538,236.67523488927839,-0.0050559654478385,-0.0060331010432186,0.012031863758872401,0.005750178672389329
2006-03-22,2.23,2.47,8.918569213719694,234.42555181728736,-0.0027191169361273,0.0060025147159503,0.01174649595487802,0.006545460296722256
2006-03-23,2.24,2.49,8.607416318249491,228.35201074259325,-0.0014533132950802,-0.002585632377503,0.01135961890141498,0.006264174756083974
2006-03-24,2.2,2.47,8.714596660186945,232.22061178316733,0.0178367482289187,0.0009827977455314,0.010932053128016216,0.006405058048132398
2006-03-27,2.23,2.47,8.83728129109896,229.09091791830807,0.012422519998557,-0.0010289384550095,0.011737922475973404,0.00607699572740508
2006-03-28,2.3,2.49,8.575752659346897,227.1852386202925,-0.000705759420045,-0.0064589987257219,0.012071887781954081,0.00597940094845144
2006-03-29,2.32,2.49,8.623025226717601,231.37492108070765,0.0112321724070332,0.0074419354889663,0.011564008955695641,0.006829725209411763
